keys,en,ne,NDPC Remarks,INCORRECT FOUND IN,Not found ,While doing (reason)
linkedBAnkAccount,Linked BAnk Account,लिङ्क गरिएको बैंक खाता,,,,
linkBankAccountAndLoad,Link bank account and load,बैंक खाता लिङ्क गर्नुहोस् र लोड गर्नुहोस्,,,,
sendMoneyToYourContact,Send Money to your Contact,आफ्नो सम्पर्कमा पैसा पठाउनुहोस्,,,,
addToFavourite,Add to favourite,मनपर्नेमा थप्नुहोस्,correct,,,
requestMoneyFromYourContactOrAnyNamastepayID,Request money from your contact or any Namastepay ID,तपाईंको सम्पर्क वा कुनै पनि Namastepay ID बाट पैसा अनुरोध गर्नुहोस्,correct,,,
addToFavourite,Add to favourite,मनपर्नेमा थप्नुहोस्,correct,,,
createAndSendDynamicQR,Create and Send Dynamic QR,डायनामिक QR सिर्जना गर्नुहोस् र पठाउनुहोस्,correct,,,
request,Request,अनुरोध गर्नुहोस्,correct,,,
bankTransfer,Bank Transfer,बैंक स्थानान्तरण,,,,
ownAccount,Own Account,आफ्नै खाता,,,,
availableTransferBalance,Available Transfer Balance,उपलब्ध स्थानान्तरण ब्यालेन्स,,,,
noBankAccountLinked,No bank account linked,कुनै बैंक खाता लिङ्क गरिएको छैन,,,,
proceed,Proceed,अगाडि बढ्नुहोस्,,,,
electricity,Electricity,बिजुली,,,,
selectBiller,Select Biller,बिलर चयन गर्नुहोस्,,,,
nepalElectricityAuthority,Nepal Electricity Authority,नेपाल विद्युत प्राधिकरण,,,,
scNumber,SC Number,SC नम्बर,,,,
consumerID,Consumer ID,उपभोक्ता आईडी,,,,
next,Next,अर्को,,,,
landlineNumber,Landline Number,ल्यान्डलाइन नम्बर,,,,
proceedToPay,Proceed to pay,भुक्तानी गर्न अगाडि बढ्नुहोस्,,,,
selectISP,Select ISP,ISP चयन गर्नुहोस्,,,,
searchISP,Search ISP,ISP खोज्नुहोस्,,,,
allISP,All ISP's,सबै ISP,,,,
ntFTTH,NT FTTH,NT FTTH,,,,
selectBiller,Select Biller,बिलर चयन गर्नुहोस्,,,,
khanepani,Khanepani,खानेपानी,,,,
selectCounter,Select Counter,काउन्टर चयन गर्नुहोस्,,,,
customerID,Customer ID,ग्राहक आईडी,,,,
next,Next,अर्को,,,,
water,Water,पानी,,,,
splitTo,Split to ,विभाजन गर्नुहोस्,,,,
splitYourBillAndPaySeparate,Split your bill and Pay separate,आफ्नो बिल विभाजन गर्नुहोस् र अलग भुक्तानी गर्नुहोस्,,,,
add,Add,थप्नुहोस्,,,,
addMemberByMobileNumberOrFromContact,Add member by mobile number or from contact,मोबाइल नम्बर वा सम्पर्कबाट सदस्य थप्नुहोस्,,,,
yourself,Yourself,आफैलाई,,,,
splitBill,Split Bill,बिल विभाजन,,,,
searchBiller,Search Biller,बिलर खोज्नुहोस्,,,,
allBiller,All Biller,सबै बिलर,,,,
changeBank,Change Bank,बैंक खाता परिवर्तन गर्नुहोस्,,,,
selectPaymentMethod,Select Payment Method,भुक्तानी विधि छनौट गर्नुहोस्,,,,
totalAmount,Total Amount,कुल रकम,,,,
promoCode,Promo Code,प्रोमो कोड,,,,
changePromoCode,Change PromoCode,प्रोमो कोड परिवर्तन गर्नुहोस्,,,,
selectContact,Select Contact,सम्पर्क छनौट गर्नुहोस्,,,,
searchContact,Search Contact,सम्पर्क खोज्नुहोस्,,,,
sastoTicket,Sasto Ticket,Sasto Ticket,,,,
loadMoneyToYourWallet,Load money to your wallet,आफ्नो वालेटमा पैसा लोड गर्नुहोस्,,,,
favourites,Favourites,मनपर्नेहरू,,,,
loadAmount,Load Amount,रकम लोड गर्नुहोस्,,,,
loadMoneyConfirm,Load Money Confirm,लोड पैसा पुष्टि गर्नुहोस्,,,,
payFrom,Pay From,भुक्तानी गर्नुहोस्,,,,
apply,Apply,निवेदन गर्नुहोस्,,,,
selectCableCar,Select Cable Car,केबल कार चयन गर्नुहोस्,,,,
recentTransactions,Recent Transactions,हालको लेनदेन,,,,
pleaseSelectBillerFirst,Please Select Biller First,बिलर चयन गर्नुहोस्,,,,
otherAccount,Other Account,अर्को खाता,,,,
enterBankDetails,Enter Bank Details,बैंक विवरणहरू प्रविष्ट गर्नुहोस्,,,,
select,Select,चयन गर्नुहोस्,,,,
name,Name,नाम,,,,
mobile,Mobile,मोबाइल,,,,
chooseDataPack,Choose Data Pack,डाटा प्याक छान्नुहोस्,,,,
dynamicQR,Dynamic QR,Dynamic QR,,,,
voucherNo,Voucher No,भाउचर नम्बर,,,,
updateYourKYC,Update your KYC,आफ्नो KYC अपडेट गर्नुहोस्,,,,
kindlyUploadYourDocuments,Kindly upload your documents to complete your KYC.,कृपया आफ्नो KYC पूरा गर्नका लागि कागजातहरू अपलोड गर्नुहोस्।,,,,
rejectReason,Reject Reason,अस्वीकार को कारण ,,,,
takeATour,Take a tour,भ्रमण गर्नुहोस्,,,,
hiUserNameWelcome,"Hi {userName}, welcome to",(userName) तपाईंलाई स्वागत छ ।,,,,
loyaltyTierInfo,Loyalty Tier Info,वफादारी टियर जानकारी/ वफादारी स्तर जानकारी,,,,
checkYourCurrentLoyalty,Check your current Loyalty tier information here. The color changes automatically according to your tier.,यहाँ आफ्नो हालको लोयल्टी स्तर जानकारी जाँच गर्नुहोस्। रंग तपाईंको स्तर अनुसार स्वचालित रूपमा परिवर्तन हुन्छ।,,,,
devices,Devices,उपकरणहरू,,,,
credentials,Credentials,प्रमाणहरू,,,,
pleaseUpdateYourKYC,Please update your KYC.,कृपया आफ्नो KYC अपडेट गर्नुहोस्।,,,,
